,id,mol_weight,formula,P,O,I,H,Se,Mo,X,Mg,Br,As,F,R,N,C,Zn,S,Cl,Co,polymer
2721,C19814,272.4681,C20H32,0,0,0,32,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
2722,C21727,450.4432,C20H36O7P2,2,7,0,36,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
2723,C01121,342.2462,C8H19N6O7P,1,7,0,19,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0
2724,C02179,,C2H5N2OR(C2H2NOR)n,0,1,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1
2725,C02743,,C4H6N2O2SR2,0,2,0,6,0,0,0,0,0,0,0,2,2,4,0,1,0,0,0
2726,C18054,225.198,C10H11NO5,0,5,0,11,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0
2727,C04247,,C12H21O11R,0,11,0,21,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0
2728,C08588,328.4022,C20H24O4,0,4,0,24,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
2729,C12270,304.2533,C11H16N2O8,0,8,0,16,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0
2730,C17010,296.2726,C14H16O7,0,7,0,16,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2731,C11816,317.4226,C19H27NO3,0,3,0,27,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0
2732,C02170,118.088,C4H6O4,0,4,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2733,C01306,,C16H27N2O11R,0,11,0,27,0,0,0,0,0,0,0,1,2,16,0,0,0,0,0
2734,C02700,236.224,C11H12N2O4,0,4,0,12,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0
2735,C06123,238.4088,C16H30O,0,1,0,30,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2736,C14095,236.1776,C11H8O6,0,6,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2737,C21539,,C14H24N4O7S2(CH2)n,0,7,0,2,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1
2738,C00252,342.2965,C12H22O11,0,11,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2739,C01158,332.2601,C13H16O10,0,10,0,16,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
2740,C04648,,C12H21O10R,0,10,0,21,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0
2741,C08250,342.2965,C12H22O11,0,11,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2742,C12112,497.4908,C20H35NO13,0,13,0,35,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0
2743,C03001,278.307,C13H18N4O3,0,3,0,18,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0
