id,mol_weight,formula
C16295,933.8354,C43H49O23
C16328,1041.932,C39H62N7O18P3S
C16332,1013.8788,C37H58N7O18P3S
C00744,902.0735,C45H75NO17
C05260,993.8892,C35H62N7O18P3S
C11538,919.7492,C42H44CoN4O16
C11545,938.9016,C45H59CoN4O14
C16292,903.8094,C42H47O22
C16294,919.8088,C42H47O23
C16336,985.8256,C35H54N7O18P3S
C00323,929.6763,C30H42N7O19P3S
C00406,943.7028,C31H44N7O19P3S
C00411,973.7288,C32H46N7O20P3S
C00832,615.6285,C23H45N5O14
C01291,961.7612,C32H50N7O19P3S
C01737,614.6437,C23H46N6O13
C02463,864.8477,C42H48N4O16
C03221,947.8207,C33H56N7O17P3S
C07160,931.7352,C31H48N7O18P3S
C09818,955.7135,C32H44N7O19P3S
C11935,931.7352,C31H48N7O18P3S
C15982,,C53H78O7(CH2)n
C20649,,C18H25N6O10P(C5H8O6PR)n(C5H8O6PR)n
C20752,,C16H23N6O11PS(C5H8O6PR)n(C5H8O6PR)n
C00223,913.6769,C30H42N7O18P3S
C07201,810.9741,C46H58N4O9
C11929,915.7358,C31H48N7O17P3S
C11945,917.7517,C31H50N7O17P3S
C12386,818.8142,C40H50O18
C19945,935.6808,C29H44N7O20P3S
C21312,901.6662,C29H42N7O18P3S
C00356,911.6594,C27H44N7O20P3S
C00531,879.6176,C26H40N7O19P3S
C00582,885.6668,C29H42N7O17P3S
C00904,897.6329,C26H42N7O20P3S
C01967,795.2265,C54H82O4
C02411,879.6176,C26H40N7O19P3S
C06027,897.6329,C26H42N7O20P3S
C09821,889.6555,C28H42N7O18P3S
C19682,893.6442,C27H42N7O19P3S
C20394,887.6396,C28H40N7O18P3S
C03069,849.6347,C26H42N7O17P3S
C03345,849.6347,C26H42N7O17P3S
C15935,743.0658,C48H70O6
C16695,751.217,C53H82O2
C20955,867.6731,C25H40N7O17P3S2
C21089,881.6765,C27H46N7O18P3S
C00827,839.5968,C24H40N7O18P3S
C00894,821.5815,C24H38N7O17P3S
C02331,835.6081,C25H40N7O17P3S
C03460,835.6081,C25H40N7O17P3S
C05815,713.0829,C48H72O4
C15940,715.0126,C46H66O6
C16523,733.8007,C40H47NO12
C18072,721.7502,C37H43N3O12
C01912,733.9268,C37H67NO13
C03541,,C24H30N8O9(C5H7NO3)n-2
C05813,683.0569,C47H70O3
C05814,697.0835,C48H72O3
C11932,530.3143,C16H24N2O14P2
C15680,727.8791,C37H61NO13
C17705,495.5676,C20H41N5O9
C21362,546.3137,C16H24N2O15P2
C00825,483.5139,C18H37N5O10
C05811,655.0468,C46H70O2
C06616,719.9002,C36H65NO13
C06633,703.9008,C36H65NO12
C15681,681.8538,C36H59NO11
C17704,481.5411,C19H39N5O9
C18845,711.8797,C37H61NO12
C18846,695.8803,C37H61NO11
C04722,450.6511,C27H46O5
C05810,639.0474,C46H70O
C11475,,C10H14N5O7P(C5H8O5PR)n(C5H8O5PR)n
C00821,,C10H14N5O6P(C5H8O5PR)n(C5H8O5PR)n
C04554,434.6517,C27H46O4
C12246,639.7325,C35H45NO10
C12381,660.6192,C32H36O15
C16463,690.4107,C20H24N10O14P2
C18152,616.9891,C35H36MgN4O5
C20976,632.5661,C30H32O15
C00856,,C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n
C02010,422.4389,C17H26N8O5
C04536,598.9739,C35H34MgN4O4
C06626,431.7801,C20H14ClNO8
C16999,414.3688,C19H18N4O7
C20761,,C93H155NO37P2(C24H40O20)n
C20839,414.6206,C27H42O3
C20975,618.5395,C29H30O15
C21429,599.0169,C36H38MgN4O3
C00063,483.1563,C9H16N3O14P3
C03516,584.9473,C34H32MgN4O4
C06627,397.335,C20H15NO8
C11971,602.7554,C34H50O9
C12045,635.1448,C32H43ClN2O9
C15879,582.898,C41H58O2
C15887,586.9298,C41H62O2
C15903,582.898,C41H58O2
C15919,584.8708,C40H56O3
C16282,584.8708,C40H56O3
C20650,,C31H28MgN4O6(R1)(R2)
C20974,604.5129,C28H28O15
C21428,584.9903,C35H36MgN4O3
C00128,614.4511,C20H31N4O16P
C03866,,(C21H32O18)n
C05200,562.8223,C37H54O4
C05804,560.8494,C38H56O3
C05805,576.8488,C38H56O4
C06098,568.8714,C40H56O2
C08590,552.872,C40H56O
C11955,588.7288,C33H48O9
C11963,570.7135,C33H46O8
C11979,584.7401,C34H48O8
C12002,597.7373,C31H51NO10
C12628,578.5187,C27H30O14
C15877,566.8986,C41H58O
C15886,568.9145,C41H60O
C15898,554.8879,C40H58O
C15900,568.9145,C41H60O
C18157,556.9372,C33H32MgN4O3
C18160,,C30H26MgN4O4(R1)(R2)
C19795,554.8879,C40H58O
C20137,605.1188,C31H41ClN2O8
C21427,570.9638,C34H34MgN4O3
C00458,467.1569,C9H16N3O13P3
C00916,415.4182,C16H21N3O8S
C02528,392.572,C24H40O4
C04483,392.572,C24H40O4
C05803,546.8229,C37H54O3
C12472,575.9915,C28H30ClNO10
C12475,555.573,C29H33NO10
C15908,532.8409,C40H52
C00008,427.2011,C10H15N5O10P2
C00019,398.4374,C15H22N6O5S
C00096,605.3411,C16H25N5O16P2
C03990,376.5726,C24H40O3
C07029,565.473,C22H28N7O9P
C00021,384.4108,C14H20N6O5S
C01282,,C27H52NO8PR
C01661,543.5193,C27H29NO11
C05801,518.8128,C36H54O2
C07028,551.4464,C21H26N7O9P
C08320,368.6367,C24H48O2
C08323,366.6208,C24H46O2
C19700,556.351,C26H19Cl2N3O7
C05800,502.8134,C36H54O
C07304,523.5296,C25H33NO11
C12429,513.5363,C27H31NO9
C00842,564.329,C16H26N2O16P2
C02741,559.3157,C15H23N5O14P2
C03904,,C9H13N3O6R2(C2H2NOR)n
C07031,499.5197,C23H29N7O6
C08607,498.7385,C35H46O2
C11991,516.6216,C26H44O10
C11998,509.6753,C28H47NO7
C12428,499.5098,C26H29NO9
C15683,521.686,C29H47NO7
C16424,575.298,C15H24N5O13P3
C20152,504.6124,C28H40O8
C20765,559.3986,C18H31N3O13P2
C00501,565.317,C15H25N3O16P2
C01593,506.5422,C26H34O10
C03187,548.3296,C16H26N2O15P2
C04099,,(C18H30O15)n
C04268,547.3448,C16H27N3O14P2
C09330,505.5143,C25H31NO10
C12410,504.4832,C25H28O11
C19785,502.5221,C19H34N8O8
C01219,547.3017,C15H23N3O15P2
C02027,472.5275,C26H32O8
C02079,466.531,C28H26N4O3
C02633,480.6341,C27H44O7
C03514,470.5116,C26H30O8
C05465,499.7036,C26H45NO6S
C06429,328.4883,C22H32O2
C08281,340.5836,C22H44O2
C08316,338.5677,C22H42O2
C08814,480.6771,C28H48O6
C09328,475.6224,C29H37N3O3
C09390,466.6123,C28H38N2O4
C16156,1006.4224,C61H100NO8P
C16166,1080.023,C43H68N7O17P3S
C16170,1082.0389,C43H70N7O17P3S
C16533,336.5518,C22H40O2
C18034,543.3992,C18H31N3O12P2
C21351,532.2871,C15H22N2O15P2
C00020,347.2212,C10H14N5O7P
C02465,650.9735,C15H12I3NO4
C04454,356.2264,C9H17N4O9P
C07025,345.2053,C10H12N5O7P
C12391,306.269,C18H10O5
C00234,473.4393,C20H23N7O7
C01610,471.5096,C22H29N7O5
C07349,452.5045,C27H24N4O3
C12138,465.3842,C21H21O12
C12404,452.4533,C25H24O8
C15794,464.6777,C28H48O5
C18033,515.346,C16H27N3O12P2
C18683,452.4533,C25H24O8
C20134,477.9777,C25H32ClNO6
C20715,460.7321,C30H52O3
C21354,517.3188,C15H25N3O13P2
C00044,523.1804,C10H16N5O14P3
C00219,304.4669,C20H32O2
C00455,334.2192,C11H15N2O8P
C00575,329.2059,C10H12N5O6P
C01441,322.358,C12H26N4O6
C01607,312.5304,C20H40O2
C01821,448.3769,C21H20O11
C02513,462.6188,C27H42O6
C03206,442.4187,C22H22N2O8
C03242,306.4828,C20H34O2
C03313,452.7116,C31H48O2
C04506,,C20H33N2O3SR(C2H2NOR)n
C08604,449.3848,C21H21O11
C08621,444.7327,C30H52O2
C08980,458.7162,C30H50O3
C11994,453.612,C25H43NO6
C15802,450.6942,C28H50O4
C16426,495.3181,C15H23N5O10P2
C16526,310.5145,C20H38O2
C16609,296.3388,C18H17FN2O
C17148,456.7003,C30H48O3
C19943,440.7009,C30H48O2
C20350,323.3428,C12H25N3O7
C20542,437.5711,C27H35NO4
C20586,451.5977,C28H37NO4
C21323,306.3105,C16H18O6
C21590,443.4465,C23H25NO8
C01917,468.4992,C18H36N4O10
C02141,426.7174,C30H50O
C08616,426.7174,C30H50O
C15790,432.6789,C28H48O3
C16146,432.6374,C30H40O2
C16494,432.6359,C27H44O4
C16497,446.6194,C27H42O5
C17373,473.5404,C20H31N3O8S
C20528,421.5717,C27H35NO3
C20530,421.6148,C28H39NO2
C20553,417.5399,C27H31NO3
C21588,428.455,C23H26NO7
C21766,414.6221,C30H38O
C01673,416.6365,C27H44O3
C02477,430.7061,C29H50O2
C02811,426.4193,C22H22N2O7
C03577,455.608,C23H37NO6S
C04780,294.429,C18H30O3
C04895,495.1703,C9H16N5O13P3
C05324,303.3116,C12H21N3O6
C05446,436.6676,C27H48O4
C07712,416.6365,C27H44O3
C11523,426.7174,C30H50O
C12370,408.3576,C22H16O8
C12424,412.3894,C22H20O8
C14153,424.6585,C29H44O2
C15789,416.6795,C28H48O2
C15798,418.6954,C28H50O2
C16498,430.62,C27H42O4
C17333,416.6365,C27H44O3
C20527,405.6154,C28H39NO
C20534,405.5723,C27H35NO2
C01091,414.4947,C23H30N2O5
C01561,400.6371,C27H44O2
C05418,402.6529,C27H46O2
C05452,404.6688,C27H48O2
C05455,400.6371,C27H44O2
C05500,402.6529,C27H46O2
C05501,418.6523,C27H46O3
C06566,446.4323,C16H22N4O9S
C06654,398.3661,C20H18N2O7
C12369,394.3311,C21H14O8
C12382,400.3356,C20H16O9
C12419,398.3628,C21H18O8
C12421,396.3469,C21H16O8
C14151,402.6529,C27H46O2
C14154,410.6319,C28H42O2
C15519,402.6529,C27H46O2
C15787,402.696,C28H50O
C15882,402.6529,C27H46O2
C20525,389.616,C28H39N
C20737,396.6053,C27H40O2
C00170,297.3335,C11H15N5O3S
C00239,307.1971,C9H14N3O7P
C00387,283.2407,C10H13N5O5
C00712,282.4614,C18H34O2
C02986,,C7H12N3O4R(C2H2NOR)n
C03035,1027.9484,C39H64N7O17P3S
C04376,314.1865,C8H15N2O9P
C04421,290.2698,C11H18N2O7
C19888,,C11H17N2O6R
C00075,484.1411,C9H15N2O15P3
C01600,,C11H21O15P2R
C02673,398.4953,C23H30N2O4
C04713,415.3382,C15H22N5O7P
C05011,387.514,C26H29NO2
C05193,379.3628,C21H17NO6
C05417,386.6535,C27H46O
C07108,371.5146,C26H29NO
C10552,384.3793,C21H20O7
C10557,400.4218,C22H24O7
C12368,380.3045,C20H12O8
C12474,395.4052,C22H21NO6
C15568,404.5396,C24H36O5
C20504,386.3521,C20H18O8
C21140,379.535,C25H33NO2
C21318,,C11H22NO13P2R
C21330,379.535,C25H33NO2
C21647,405.4051,C18H23N5O6
C00194,1579.5818,C72H100CoN18O17P
C06024,1625.8836,C76H142N2O30P2
C00035,443.2005,C10H15N5O11P2
C03240,386.5228,C21H38O6
C04905,339.2309,C14H19N4O.
C05416,370.6541,C27H46
C06628,381.3356,C20H15NO7
C12367,366.321,C20H14O7
C14115,258.2693,C15H14O4
C16546,357.488,C25H27NO
C16708,371.4269,C21H25NO5
C16713,371.4269,C21H25NO5
C20278,274.3598,C12H26N4O3
C20499,372.3686,C20H20O7
C20513,367.4415,C21H25N3O3
C20911,275.2121,C10H13NO8
C20950,,C10H15N2O6R
C21183,370.3958,C21H22O6
C21315,,C11H19O14P2R
C21316,,C11H17O13P2R
C21458,,C6H9N2O5R(C2H2NOR)n
C21586,370.419,C21H24NO5
C21646,377.352,C16H19N5O6
C00862,748.731,C34H44N4O15
C01433,390.3823,C17H26O10
C01590,356.3692,C20H20O6
C01852,388.3665,C17H24O10
C02915,354.4196,C21H24NO4
C05189,353.3686,C20H19NO5
C06629,365.3362,C20H15NO6
C11250,371.4269,C21H25NO5
C11642,352.4269,C21H24N2O3
C11643,352.4269,C21H24N2O3
C11676,352.4269,C21H24N2O3
C16417,354.3964,C21H22O5
C20512,351.4421,C21H25N3O2
C21131,341.3627,C21H15N3O2
C00559,251.2419,C10H13N5O3
C02740,280.3228,C11H8N2O3S2
C05198,251.2419,C10H13N5O3
C18021,592.6841,C35H36N4O5
C01512,376.3558,C16H24O10
C01795,338.3771,C20H20NO4
C02034,362.4168,C20H26O6
C04552,360.3148,C18H16O8
C04831,373.3121,C15H19NO10
C06095,364.4327,C20H28O6
C08012,353.4977,C23H31NO2
C09244,336.4275,C21H24N2O2
C09341,355.4275,C21H25NO4
C11672,358.3405,C16H22O9
C11858,348.4333,C20H28O5
C11898,346.5036,C22H34O3
C16416,340.3698,C20H20O5
C18023,340.3698,C20H20O5
C19624,354.5671,C22H42O3
C03617,,C17H28N2O12PSR3(C5H8O6PR)n
C18640,585.599,C30H35NO11
C00010,767.5341,C21H36N7O16P3S
C00015,404.1612,C9H14N2O12P2
C00024,809.5708,C23H38N7O17P3S
C00112,403.1764,C9H15N3O11P2
C00299,244.2014,C9H12N2O6
C00852,354.3087,C16H18O9
C00859,348.3903,C19H24O6
C00961,324.2843,C18H12O6
C01265,330.2889,C17H14O7
C01573,,C14H21N5O4R2
C01699,346.3744,C19H22O6
C03747,330.4611,C21H30O3
C03944,340.3267,C19H16O6
C04843,354.481,C20H34O5
C05175,323.3426,C19H17NO4
C05229,342.3857,C20H22O5
C06094,348.4333,C20H28O5
C06176,335.3948,C18H25NO5
C06314,352.4651,C20H32O5
C06638,285.5961,C14H11Cl3
C07572,324.3919,C20H21FN2O
C09190,346.3744,C19H22O6
C09581,342.4089,C20H24NO4
C10193,330.2889,C17H14O7
C11448,984.7117,C32H43N8O20P3S
C11620,346.2883,C17H14O8
C11853,332.4339,C20H28O4
C11856,346.3744,C19H22O6
C11857,332.4339,C20H28O4
C11896,330.5042,C22H34O2
C12126,,C19H38NO3R
C12208,338.3093,C16H18O8
C12396,322.3115,C19H14O5
C12398,318.3228,C20H14O4
C12399,320.2956,C19H12O5
C12739,246.1924,C9H11FN2O5
C14781,336.4657,C20H32O4
C14810,336.4657,C20H32O4
C14813,336.4657,C20H32O4
C16427,335.3583,C15H21N5O4
C16661,339.4712,C22H29NO2
C16756,328.273,C17H12O7
C18678,342.3426,C19H18O6
C19586,328.273,C17H12O7
C20199,238.2796,C13H18O4
C20841,232.232,C13H12O4
C21161,349.3386,C16H19N3O6
C21630,329.3902,C19H23NO4
C18634,569.5996,C30H35NO10
C12426,557.5458,C28H31NO11
C00120,244.3106,C10H16N2O3S
C00130,348.206,C10H13N4O8P
C00144,363.2206,C10H14N5O8P
C00254,226.1828,C10H10O6
C00526,228.202,C9H12N2O5
C00613,,C7H13N5O2R2
C00643,220.2246,C11H12N2O3
C01953,316.4776,C21H32O2
C02730,222.1941,C11H10O5
C02794,224.2133,C10H12N2O4
C02947,320.294,C16H16O7
C03207,312.4458,C21H28O2
C03415,232.2337,C9H16N2O5
C04084,312.4458,C21H28O2
C04109,318.2351,C15H10O8
C04390,232.2337,C9H16N2O5
C04646,364.2716,C10H13N4O7PS
C04692,,C12H17N5O4R2
C04919,1405.7069,C68H130N2O23P2
C05551,334.3901,C16H18N2O4S
C05651,224.2133,C10H12N2O4
C05958,334.4498,C20H30O4
C06093,316.4345,C20H28O3
C06193,363.2206,C10H14N5O8P
C06390,332.477,C21H32O3
C06516,315.3636,C18H21NO4
C06542,326.4326,C20H26N2O2
C06800,312.2736,C17H12O6
C10107,318.2351,C15H10O8
C11875,318.4504,C20H30O3
C12397,304.2962,C19H12O4
C14768,320.4663,C20H32O3
C14769,320.4663,C20H32O3
C14770,320.4663,C20H32O3
C14771,320.4663,C20H32O3
C20444,312.2736,C17H12O6
C20852,340.4544,C19H32O5
C20853,322.4391,C19H30O4
C21162,335.312,C15H17N3O6
C21216,257.1782,C7H16NO7P
C21332,236.1761,C8H12O8
C21461,2361.7661,C112H208N3O42P3
C00389,302.2357,C15H10O7
C00399,,C14H18O4(C5H8)n
C00777,300.4351,C20H28O2
C01367,347.2212,C10H14N5O7P
C01618,320.4232,C19H28O4
C03052,320.251,C15H12O8
C04441,,C11H15N5O4R2
C05176,299.3642,C18H21NO3
C05202,315.3636,C18H21NO4
C05203,301.3371,C17H19NO4
C05317,315.3636,C18H21NO4
C05819,,C16H18O2(C5H8)n
C08314,316.476,C18H36O4
C09239,310.3902,C19H22N2O2
C10192,302.2357,C15H10O7
C10516,314.2895,C17H14O6
C11874,302.451,C20H30O2
C14852,286.324,C20H14O2
C14853,302.3234,C20H14O3
C16608,310.3654,C19H19FN2O
C16610,311.3071,C18H14FNO3
C19490,290.3557,C20H18O2
C19620,314.4602,C18H34O4
C06026,2238.7184,C110H202N2O39P2
C06508,1240.3214,C58H84CoN16O11
C12016,1313.4283,C58H44Cl3N7O21S
C00157,,C10H18NO8PR2
C00270,309.2699,C11H19NO9
C00328,208.2139,C10H12N2O3
C01060,432.9816,C9H9I2NO3
C01479,289.3694,C17H23NO3
C01514,286.2363,C15H10O6
C02916,287.3105,C16H17NO4
C03657,204.1788,C11H8O4
C04785,310.4284,C18H30O4
C05298,286.3655,C18H22O3
C05301,288.3814,C18H24O3
C05619,210.1834,C10H10O5
C05902,300.2629,C16H12O6
C05903,286.2363,C15H10O6
C05925,335.2105,C9H14N5O7P
C06087,302.451,C20H30O2
C06174,299.3642,C18H21NO3
C08368,296.4449,C18H32O3
C08491,210.2695,C12H18O3
C08576,286.2363,C15H10O6
C09094,290.4834,C20H34O
C09118,302.451,C20H30O2
C09816,208.2106,C11H12O4
C10522,282.2476,C16H10O5
C11873,286.4516,C20H30O
C11882,288.4675,C20H32O
C11885,286.4516,C20H30O
C11886,286.4516,C20H30O
C11887,286.4516,C20H30O
C11895,288.4675,C20H32O
C12077,302.451,C20H30O2
C12434,286.2794,C16H14O5
C14825,296.4449,C18H32O3
C14827,312.4443,C18H32O4
C14850,268.3087,C20H12O
C14909,300.3921,C19H24O3
C15525,288.2522,C15H12O6
C15699,217.2655,C9H19N3O3
C16220,,C18H35O2SR
C16229,284.2635,C16H12O5
C16320,292.4131,C18H28O3
C17232,232.3397,C11H20O3S
C17554,,C12H14O4(C5H8)n
C17561,,C13H16O3(C5H8)n
C18284,286.324,C20H14O2
C19418,298.4608,C18H34O3
C19489,272.3404,C20H16O
C19604,272.3404,C20H16O
C19617,296.4449,C18H32O3
C20430,284.3496,C18H20O3
C20566,335.2105,C9H14N5O7P
C21560,288.4675,C20H32O
C21697,,C14H18NO6R
C11985,877.1104,C44H80N2O15
C00364,322.2085,C10H15N2O8P
C00858,268.2641,C16H12O4
C00951,272.382,C18H24O2
C01241,,C8H14NO8PR2
C01368,324.1813,C9H13N2O9P
C01448,284.2635,C16H12O5
C01470,284.2635,C16H12O5
C01477,270.2369,C15H10O5
C01592,272.2528,C15H12O5
C01762,284.2255,C10H12N4O6
C02354,305.1812,C9H12N3O7P
C04290,272.3422,C16H20N2O2
C05848,,C12H14O3(C5H8)n
C06086,272.4681,C20H32
C06090,272.4681,C20H32
C06160,271.3111,C16H17NO3
C06563,270.2369,C15H10O5
C07535,252.3093,C20H12
C08521,271.3111,C16H17NO3
C08526,287.3535,C17H21NO3
C10462,294.3859,C17H26O4
C10503,270.28,C16H14O4
C11878,272.4681,C20H32
C11879,272.4681,C20H32
C11880,272.4681,C20H32
C11881,272.4681,C20H32
C13620,543.8706,C15H12Br4O2
C14314,270.2369,C15H10O5
C15567,272.2528,C15H12O5
C16232,272.2528,C15H12O5
C17560,,C12H14O3(C5H8)n
C17745,276.3276,C16H20O4
C18211,272.4681,C20H32
C18226,272.4681,C20H32
C19488,256.341,C20H16
C19858,,C12H16O3(C5H8)n
C20145,272.4681,C20H32
C21408,274.272,C14H14N2O4
C21509,,C14H20NO4R
C21674,,C11H18N2O5R2
C00355,197.1879,C9H11NO4
C00614,,C6H8N2O4R2
C01100,221.1509,C6H12N3O4P
C02188,,C7H13N3O2R2
C03900,276.1502,C9H10BrNO2S
C06551,215.6833,C8H14ClN5
C06660,198.176,C8H10N2O4
C17228,218.3131,C10H18O3S
C21309,,C9H10NO2SR
C00341,314.2091,C10H20O7P2
C00350,,C7H12NO8PR2
C01263,272.2528,C15H12O5
C04207,257.2414,C14H11NO4
C04679,,C11H22N4O3R2
C06082,264.3169,C15H20O4
C07493,254.2839,C15H14N2O2
C07495,270.2833,C15H14N2O3
C08285,288.4229,C16H32O4
C09614,272.2528,C15H12O5
C09694,266.3758,C16H26O3
C10208,254.2375,C15H10O4
C11500,265.2254,C10H11N5O4
C13621,464.9745,C15H13Br3O2
C16601,252.268,C15H12N2O2
C16602,252.268,C15H12N2O2
C17744,260.3282,C16H20O3
C17747,264.36,C16H24O3
C18260,262.3026,C18H14O2
C19614,270.4076,C16H30O3
C20915,291.3009,C11H21N3O6
C20916,273.2857,C11H19N3O5
C21673,,C10H16N2O5R2
C00158,192.1235,C6H8O7
C00666,190.1971,C7H14N2O4
C00780,176.2151,C10H12N2O
C00954,175.184,C10H9NO2
C01037,188.2673,C9H20N2O2
C02727,188.2242,C8H16N2O3
C03682,187.1931,C8H13NO4
C05583,182.1733,C9H10O4
C06054,214.0673,C4H7O8P
C07159,182.2164,C10H14O3
C10447,182.1733,C9H10O4
C10858,185.2203,C9H15NO3
C11405,184.2322,C10H16O3
C12026,183.1614,C8H9NO4
C14101,172.18,C11H8O2
C17224,204.2865,C9H16O3S
C17235,179.2157,C10H13NO2
C17695,190.1507,C7H10O6
C19788,182.1335,C7H6N2O4
C20646,178.1846,C10H10O3
C20954,206.0899,C6H7O6P
C21452,928.6915,C30H43N8O18P3S
C00249,256.4241,C16H32O2
C01779,265.3314,C12H15N3O2S
C02621,264.3633,C15H24N2O2
C02801,852.6386,C25H43N8O17P3S
C02892,279.3381,C12H15N4O2S
C04596,318.0253,C14H8Cl4
C05204,235.3236,C17H17N
C06025,1846.0603,C84H154N2O37P2
C06868,236.2686,C15H12N2O
C07576,284.2481,C12H17N2O4P
C10287,256.2964,C16H16O3
C10793,246.3447,C16H22O2
C11848,259.3434,C16H21NO2
C13453,250.3334,C15H22O3
C13622,386.0785,C15H14Br2O2
C14241,240.254,C15H12O3
C15204,240.254,C15H12O3
C15615,238.2381,C15H10O3
C16138,255.3134,C12H21N3O3
C16504,252.3493,C15H24O3
C17551,,C11H14O2(C5H8)n
C18259,232.2766,C17H12O
C20139,783.2588,C37H51ClN2O14
C20399,264.3169,C15H20O4
C20871,238.2381,C15H10O3
C21443,243.2612,C13H13N3O2
C21672,,C9H14N2O5R2
C06507,1183.227,C55H77CoN15O11
C04738,833.7087,C31H53N3O19P2
C15861,717.0285,C46H68O6
C15914,712.9968,C46H64O6
C00268,239.2312,C9H13N5O3
C00799,222.2387,C15H10O2
C01281,,C10H10N2O3R2
C01598,232.2783,C13H16N2O2
C02162,246.2155,C13H10O5
C02778,223.2698,C15H13NO
C03582,228.2433,C14H12O3
C04143,,C8H15N5O2R2
C05201,223.3129,C16H17N
C05807,,C11H14O(C5H8)n
C06636,320.0412,C14H10Cl4
C06664,272.3207,C11H16N2O4S
C07073,234.3373,C14H22N2O
C07501,238.2399,C11H14N2O4
C13623,307.1824,C15H15BrO2
C13624,228.2863,C15H16O2
C13629,244.2857,C15H16O3
C16153,535.291,C14H23N3O15P2
C16502,236.3499,C15H24O2
C20404,234.334,C15H22O2
C20440,292.0744,C5H10O10P2
C21778,256.195,C10H13N2O4P
C00313,839.5537,C23H36N7O19P3S
C00366,168.1103,C5H4N4O3
C00374,,(C26H40N2O36S5)n
C00398,160.2157,C10H12N2
C00437,174.1977,C7H14N2O3
C00439,174.1546,C6H10N2O4
C00547,169.1778,C8H11NO3
C03493,167.162,C8H9NO3
C03590,166.1308,C8H6O4
C03925,295.9129,C7H4Br2O3
C05581,166.1739,C9H10O3
C05607,166.1739,C9H10O3
C06033,176.1241,C6H8O6
C06988,290.8298,C6H6Cl6
C07114,164.158,C9H8O3
C11924,166.217,C10H14O2
C11943,168.2328,C10H16O2
C14147,166.1838,C6H10N6
C14148,167.1686,C6H9N5O
C16181,272.3842,C6H7Cl5O
C16462,170.2487,C10H18O2
C17220,190.26,C8H14O3S
C21120,750.0569,C43H75NO9
C21448,390.5992,C25H42O3
C21607,,C23H37O23PR2
C00978,218.2518,C12H14N2O2
C01255,244.3306,C12H24N2O3
C01286,258.1199,C6H11O9P
C03461,220.3505,C15H24O
C04384,,C6H12NO5(C12H19NO19S3)n
C05545,,C9H17N3O2R2
C05931,247.202,C9H13NO7
C06639,267.1505,C14H12Cl2O
C06656,228.2483,C9H16N4O3
C11468,235.1929,C11H9NO5
C14335,202.2506,C16H10
C16204,210.228,C14H10O2
C16704,223.2683,C12H17NO3
C19677,218.3346,C15H22O
C19716,220.2246,C11H12N2O3
C19939,218.3346,C15H22O
C20822,242.2948,C10H14N2O3S
C21204,274.1624,C7H15O9P
C21320,220.1782,C11H8O5
C21346,,C9H8IO4SR
C05809,683.0569,C47H70O3
C05922,541.1957,C10H18N5O15P3
C14725,641.7053,C34H43NO11
C21446,362.546,C23H38O3
C00135,155.1546,C6H9N3O2
C00642,152.1473,C8H8O3
C00651,159.14,C6H9NO4
C01005,185.0725,C3H8NO6P
C01044,161.1128,C5H7NO5
C01127,162.0975,C5H6O6
C02137,150.1314,C8H6O3
C02220,157.1241,C6H7NO4
C02657,152.1473,C8H8O3
C03005,151.1626,C8H9NO2
C03758,153.1784,C8H11NO2
C06556,173.6035,C5H8ClN5
C06557,155.1579,C5H9N5O
C06670,191.0115,C7H4Cl2O2
C08301,149.1897,C9H11NO
C17216,176.2334,C7H12O3S
C19885,,C5H8NO4R
C00348,847.2824,C55H91O4P
C00371,219.2431,C10H13N5O
C00482,224.21,C11H12O5
C00615,,C7H8N4O2R2
C00758,202.1629,C11H6O4
C00841,202.1629,C11H6O4
C01177,260.1358,C6H13O9P
C01841,204.3511,C15H24
C02470,205.1669,C10H7NO4
C03702,,C8H15N3O2R2
C05654,211.1715,C9H9NO5
C05757,,C12H23O2SR
C07722,214.2167,C13H10O3
C09684,204.3511,C15H24
C11428,212.2439,C14H12O2
C11432,194.2286,C14H10O
C11453,278.0909,C5H12O9P2
C12142,204.3511,C15H24
C12463,,C9H8NO3SR
C14298,200.2332,C13H12O2
C15700,216.2343,C9H16N2O4
C16014,196.2445,C14H12O
C16028,204.3511,C15H24
C16141,204.3511,C15H24
C16269,204.3511,C15H24
C16391,227.1311,C7H5N3O6
C16561,206.2841,C12H18N2O
C16598,234.2033,C9H14O7
C16600,234.2033,C9H14O7
C19574,209.245,C10H15N3O2
C19686,223.1822,C10H9NO5
C20805,202.206,C12H10O3
C20817,230.2841,C9H14N2O3S
C20856,202.206,C12H10O3
C21064,242.2038,C6H10O8S
C21180,242.2038,C6H10O8S
C21306,205.1669,C10H7NO4
C21345,,C9H8IO3SR
C04675,979.7765,C32H52N7O20P3S
C01267,220.1198,C6H9N2O5P
C01494,194.184,C10H10O4
C02379,194.184,C10H10O4
C02583,,C6H9N3O3R2
C02679,200.3178,C12H24O2
C03004,197.1879,C9H11NO4
C04115,220.1336,C7H8O8
C04186,216.1449,C8H8O7
C04582,260.202,C6H13O7PS
C05610,208.2106,C11H12O4
C05635,191.1834,C10H9NO3
C06212,190.2417,C11H14N2O
C06933,279.1012,C7H15Cl2N2O2P.
C07047,261.086,C7H15Cl2N2O2P
C11422,178.2292,C14H10
C12203,959.7022,C31H44N7O20P3S
C12458,206.2378,C12H14O3
C12461,,C9H10NO2SR
C14800,189.1675,C10H7NO3
C16392,213.1476,C7H7N3O5
